time,position,x,y,z
36.2,29.491525423728813,0.0022304145062296754,9.654580074025034,0.005761061012866592
36.2,30.508474576271183,0.0022304145062296537,9.654580074024949,0.005761061012866465
36.2,31.525423728813557,0.0022291425282798703,9.70268786124116,0.0058154280378492655
36.2,32.54237288135593,0.0022268904986481345,9.789193703062567,0.0059161496495433495
36.2,33.559322033898304,0.002224368398271325,9.888135653093899,0.006032804625764916
36.2,34.57627118644068,0.0022223908025521388,9.967273243626071,0.006124760713404416
36.2,35.59322033898305,0.002221305452746868,10.011288124347049,0.006173239497610511
36.2,36.610169491525426,0.0022208859128852376,10.028405491807598,0.006190731011718711
36.2,37.62711864406779,0.0022207663235169965,10.03329213265734,0.006195395698283752
36.2,38.644067796610166,0.002220739438341447,10.034390368274737,0.006196388469679779
36.2,39.66101694915254,0.0022207344095579386,10.034595626051388,0.006196566010025891
36.2,40.67796610169491,0.002220733600087548,10.034628636564392,0.006196593542400084
36.2,41.69491525423729,0.002220733485392595,10.034633309700906,0.006196597323822942
36.2,42.71186440677966,0.0022207334708424444,10.034633902012217,0.0061965977911426365
36.2,43.728813559322035,0.00222073346916733,10.034633970146524,0.006196597843769653
36.2,44.7457627118644,0.0022207334689903243,10.0346339773388,0.00619659784922633
36.2,45.762711864406775,0.002220733468973008,10.034633978041908,0.006196597849751687
36.2,46.77966101694915,0.0022207334689714185,10.034633978106056,0.006196597849799023
36.2,47.79661016949152,0.002220733468971284,10.03463397811158,0.006196597849803083
36.2,48.813559322033896,0.0022207334689712693,10.034633978112037,0.006196597849803395
36.2,49.83050847457627,0.0022207334689712727,10.034633978112039,0.006196597849803379
36.2,50.847457627118644,0.0022207334689712775,10.03463397811202,0.006196597849803349
36.2,51.86440677966102,0.0022207334689712584,10.034633978112035,0.006196597849803398
36.2,52.88135593220339,0.002220733468971286,10.034633978112069,0.006196597849803433
36.2,53.89830508474576,0.0022207334689712827,10.03463397811207,0.006196597849803418
36.2,54.91525423728813,0.002220733468971275,10.034633978112058,0.006196597849803402
36.2,55.932203389830505,0.0022207334689712767,10.034633978112037,0.006196597849803378
36.2,56.94915254237288,0.002220733468971273,10.034633978112032,0.006196597849803386
36.2,57.96610169491525,0.0022207334689712727,10.034633978112007,0.006196597849803358
36.2,58.983050847457626,0.002220733468971254,10.034633978112,0.006196597849803325
36.2,60.0,0.0022207334689712697,10.034633978111996,0.006196597849803327
36.4,0.0,0.0022380421194276973,9.377006685462044,0.005477497458865969
36.4,1.0169491525423728,0.002238042119427723,9.377006685462051,0.005477497458865964
36.4,2.0338983050847457,0.0022380421194277108,9.377006685462034,0.005477497458865967
36.4,3.0508474576271185,0.0022380421194277142,9.377006685462032,0.005477497458865935
36.4,4.067796610169491,0.0022380421194277437,9.377006685462048,0.005477497458865976
36.4,5.084745762711864,0.002238042119427707,9.377006685462069,0.00547749745886601
36.4,6.101694915254237,0.002238042119427667,9.37700668546207,0.005477497458865999
36.4,7.11864406779661,0.0022380421194277034,9.377006685462085,0.00547749745886601
36.4,8.135593220338983,0.0022380421194277077,9.377006685462085,0.005477497458866006
36.4,9.152542372881356,0.002238042119427712,9.377006685462067,0.0054774974588659864
36.4,10.169491525423728,0.00223804211942769,9.377006685462044,0.005477497458865954
36.4,11.1864406779661,0.002238042119427722,9.377006685461994,0.0054774974588659275
36.4,12.203389830508474,0.002238042119427735,9.377006685461593,0.005477497458865703
36.4,13.220338983050848,0.0022380421194278764,9.377006685456418,0.005477497458862409
36.4,14.23728813559322,0.0022380421194295886,9.37700668539605,0.005477497458824032
36.4,15.254237288135592,0.0022380421194485817,9.37700668473388,0.0054774974583971705
36.4,16.271186440677965,0.0022380421196426204,9.377006677958333,0.005477497453963248
36.4,17.28813559322034,0.0022380421214795933,9.37700661374943,0.00547749741119438
36.4,18.305084745762713,0.002238042137441032,9.37700605532587,0.005477497031351976
36.4,19.322033898305083,0.002238042263317463,9.377001647271829,0.005477493957198245
36.4,20.338983050847457,0.00223804315220696,9.37697048941938,0.005477471569592773
36.4,21.35593220338983,0.002238048678370328,9.376776597725849,0.005477327168904493
36.4,22.3728813559322,0.00223807825019437,9.37573813790303,0.005476519475582262
36.4,23.389830508474574,0.002238209953103376,9.371111468510811,0.00547272313878967
36.4,24.406779661016948,0.0022386727797246383,9.35487675637943,0.005458482305666388
36.4,25.423728813559322,0.0022398726895216685,9.313046212612496,0.005418998447877305
36.4,26.440677966101696,0.0022420631396918547,9.23771893549439,0.005344089107728383
36.4,27.457627118644066,0.0022448594304277474,9.143498947301644,0.005249062341074559
36.4,28.47457627118644,0.002247356826040707,9.061151691583142,0.005167029123616256
36.4,29.491525423728813,0.0022487667727892516,9.01539633008873,0.0051227603590057015
36.4,30.508474576271183,0.0022487667727893266,9.015396330088649,0.005122760359005598
36.4,31.525423728813557,0.0022473568260405574,9.061151691582985,0.005167029123616086
36.4,32.54237288135593,0.002244859430427732,9.143498947301566,0.00524906234107449
36.4,33.559322033898304,0.0022420631396918612,9.23771893549438,0.005344089107728378
36.4,34.57627118644068,0.0022398726895216754,9.313046212612525,0.005418998447877331
36.4,35.59322033898305,0.002238672779724648,9.354876756379442,0.005458482305666402
36.4,36.610169491525426,0.0022382099531034023,9.371111468510792,0.005472723138789653
36.4,37.62711864406779,0.002238078250194321,9.37573813790297,0.005476519475582214
36.4,38.644067796610166,0.002238048678370304,9.376776597725769,0.005477327168904413
36.4,39.66101694915254,0.002238043152206925,9.376970489419316,0.0054774715695927135
36.4,40.67796610169491,0.002238042263317474,9.377001647271754,0.005477493957198153
36.4,41.69491525423729,0.002238042137441012,9.377006055325815,0.005477497031351927
36.4,42.71186440677966,0.002238042121479572,9.377006613749389,0.005477497411194341
36.4,43.728813559322035,0.0022380421196425537,9.377006677958322,0.005477497453963242
36.4,44.7457627118644,0.002238042119448583,9.37700668473386,0.005477497458397156
36.4,45.762711864406775,0.002238042119429586,9.377006685396037,0.005477497458823987
36.4,46.77966101694915,0.0022380421194278678,9.377006685456433,0.005477497458862444
36.4,47.79661016949152,0.0022380421194277424,9.377006685461634,0.005477497458865745
36.4,48.813559322033896,0.002238042119427715,9.377006685462064,0.005477497458865993
36.4,49.83050847457627,0.0022380421194277246,9.377006685462066,0.005477497458865981
36.4,50.847457627118644,0.0022380421194277034,9.377006685462046,0.005477497458865956
36.4,51.86440677966102,0.002238042119427741,9.377006685462064,0.005477497458865999
36.4,52.88135593220339,0.002238042119427706,9.377006685462094,0.00547749745886603
36.4,53.89830508474576,0.002238042119427704,9.377006685462096,0.005477497458866013
36.4,54.91525423728813,0.0022380421194277255,9.377006685462083,0.005477497458866001
36.4,55.932203389830505,0.002238042119427687,9.377006685462066,0.005477497458865978
36.4,56.94915254237288,0.002238042119427734,9.37700668546206,0.005477497458865992
36.4,57.96610169491525,0.0022380421194276995,9.377006685462035,0.005477497458865965
36.4,58.983050847457626,0.0022380421194277463,9.377006685462028,0.0054774974588659405
36.4,60.0,0.0022380421194277004,9.377006685462025,0.005477497458865937
36.6,0.0,0.002257206457109245,8.752124000109317,0.004892056292019856
36.6,1.0169491525423728,0.002257206457109164,8.752124000109324,0.004892056292019849
36.6,2.0338983050847457,0.002257206457109217,8.752124000109307,0.00489205629201986
36.6,3.0508474576271185,0.0022572064571091924,8.752124000109305,0.004892056292019827
36.6,4.067796610169491,0.0022572064571091343,8.75212400010932,0.004892056292019859
36.6,5.084745762711864,0.0022572064571092358,8.75212400010934,0.004892056292019896
36.6,6.101694915254237,0.0022572064571093065,8.752124000109342,0.004892056292019886
36.6,7.11864406779661,0.002257206457109158,8.752124000109356,0.00489205629201989
36.6,8.135593220338983,0.002257206457109199,8.752124000109355,0.004892056292019884
36.6,9.152542372881356,0.0022572064571092705,8.752124000109337,0.004892056292019873
36.6,10.169491525423728,0.0022572064571092076,8.752124000109317,0.00489205629201984
36.6,11.1864406779661,0.002257206457109223,8.75212400010927,0.004892056292019831
36.6,12.203389830508474,0.002257206457109285,8.752124000108893,0.004892056292019652
36.6,13.220338983050848,0.0022572064571094426,8.752124000104034,0.0048920562920169745
36.6,14.23728813559322,0.0022572064571113886,8.75212400004734,0.004892056291985892
36.6,15.254237288135592,0.0022572064571321072,8.752123999425322,0.0048920562916400035
36.6,16.271186440677965,0.002257206457345038,8.752123993059064,0.004892056288046726
36.6,17.28813559322034,0.00225720645936202,8.752123932710807,0.004892056253379989
36.6,18.305084745762713,0.0022572064768925115,8.752123407673944,0.004892055945428218
36.6,19.322033898305083,0.002257206615193028,8.752119261342186,0.004892053452478304
36.6,20.338983050847457,0.0022572075922697005,8.752089937567835,0.004892035292253978
36.6,21.35593220338983,0.0022572136703009763,8.751907336251447,0.004891918119181573
36.6,22.3728813559322,0.0022572462203647708,8.75092851612775,0.0048912624687280385
36.6,23.389830508474574,0.002257391336514199,8.746562765672644,0.004888179391635304
36.6,24.406779661016948,0.0022579020285318193,8.731221262179158,0.004876608257500486
36.6,25.423728813559322,0.002259228430805762,8.69162420568536,0.004844510682964473
36.6,26.440677966101696,0.0022616536825365804,8.620225802689733,0.004783598635245127
36.6,27.457627118644066,0.002264752406348871,8.530886780516386,0.004706331840071941
36.6,28.47457627118644,0.002267520555309835,8.452829323012951,0.004639646190326617
36.6,29.491525423728813,0.0022690828470018003,8.409489092312972,0.004603671509752146
36.6,30.508474576271183,0.002269082847001714,8.409489092312892,0.00460367150975206
36.6,31.525423728813557,0.002267520555309955,8.452829323012805,0.0046396461903264645
36.6,32.54237288135593,0.0022647524063490543,8.530886780516314,0.004706331840071897
36.6,33.559322033898304,0.002261653682536598,8.620225802689722,0.004783598635245126
36.6,34.57627118644068,0.002259228430805784,8.691624205685386,0.004844510682964497
36.6,35.59322033898305,0.0022579020285317182,8.73122126217917,0.004876608257500492
36.6,36.610169491525426,0.002257391336514149,8.746562765672627,0.0048881793916352905
36.6,37.62711864406779,0.0022572462203647344,8.750928516127694,0.004891262468727995
36.6,38.644067796610166,0.0022572136703010144,8.751907336251369,0.004891918119181508
36.6,39.66101694915254,0.002257207592269773,8.752089937567773,0.00489203529225393
36.6,40.67796610169491,0.002257206615193003,8.752119261342115,0.004892053452478229
